Scope,Mode,QQQ beta,QQQ band,SPY beta,SPY band,Name,Base CAGR,CAGR,CAGR Loss,Base Sharpe,Sharpe,Sharpe Loss,Base Max Drawdown,Max Drawdown,Max Drawdown Improvement,Turnover,Trade Count,Final Equity,Pass Sharpe,Pass CAGR,Candidate
Portfolio,config_weights,0.05,0.1,0.15,0.08,Portfolio config_weights qqq=0.05/0.10 spy=0.15/0.08,0.038791362946228425,0.036968738316690786,0.0018226246295376392,0.8692790127340393,0.8613105080797041,0.007968504654335185,-0.07901604652486238,-0.07629653020523242,0.0027195163196299665,13.081629750291349,220,193930.05924279708,True,True,True
Portfolio,config_weights,0.05,0.2,0.1,0.15,Portfolio config_weights qqq=0.05/0.20 spy=0.10/0.15,0.038791362946228425,0.03754685065033647,0.001244512295891953,0.8692790127340393,0.8672941727011313,0.0019848400329079974,-0.07901604652486238,-0.07649838026981359,0.0025176662550487894,13.495966457861597,220,195912.1586610864,True,True,True
Portfolio,config_weights,0.1,0.2,0.1,0.15,Portfolio config_weights qqq=0.10/0.20 spy=0.10/0.15,0.038791362946228425,0.03702196187261797,0.0017694010736104548,0.8692790127340393,0.8655757803330498,0.0037032324009894646,-0.07901604652486238,-0.07657727409483084,0.002438772430031544,12.949561082548191,220,194111.74476828423,True,True,True
Portfolio,config_weights,0.05,0.2,0.1,0.12,Portfolio config_weights qqq=0.05/0.20 spy=0.10/0.12,0.038791362946228425,0.03751082038090825,0.0012805425653201752,0.8692790127340393,0.8665923520268873,0.0026866607071519555,-0.07901604652486238,-0.07657916955211963,0.002436876972742752,13.476122567621157,220,195788.06891053164,True,True,True
Portfolio,config_weights,0.05,0.15,0.1,0.15,Portfolio config_weights qqq=0.05/0.15 spy=0.10/0.15,0.038791362946228425,0.0375195714801162,0.0012717914661122265,0.8692790127340393,0.8669784338576588,0.0023005788763804658,-0.07901604652486238,-0.07663204959680703,0.002383996928055354,13.476942677733263,220,195818.20122873964,True,True,True
Portfolio,config_weights,0.05,0.2,0.1,0.1,Portfolio config_weights qqq=0.05/0.20 spy=0.10/0.10,0.038791362946228425,0.03747962114500747,0.0013117418012209558,0.8692790127340393,0.8659573558008438,0.003321656933195527,-0.07901604652486238,-0.07664116893501871,0.0023748775898436714,13.463295336569331,220,195680.67746074518,True,True,True
Portfolio,config_weights,0.1,0.2,0.1,0.12,Portfolio config_weights qqq=0.10/0.20 spy=0.10/0.12,0.038791362946228425,0.036985846932316546,0.0018055160139118787,0.8692790127340393,0.8648205841127466,0.004458428621292643,-0.07901604652486238,-0.0766943994185103,0.002321647106352076,12.92971719230775,220,193988.4441888518,True,True,True
Portfolio,config_weights,0.05,0.2,0.1,0.08,Portfolio config_weights qqq=0.05/0.20 spy=0.10/0.08,0.038791362946228425,0.037440338600059686,0.0013510243461687388,0.8692790127340393,0.8651186978103393,0.004160314923699948,-0.07901604652486238,-0.07670521487190685,0.002310831652955536,13.454277488826714,220,195545.5414897207,True,True,True
Portfolio,config_weights,0.05,0.15,0.1,0.12,Portfolio config_weights qqq=0.05/0.15 spy=0.10/0.12,0.038791362946228425,0.03748353465699528,0.0013078282892331483,0.8692790127340393,0.866273095648392,0.003005917085647236,-0.07901604652486238,-0.07671284128029388,0.002303205244568507,13.457098787492825,220,195694.14517602324,True,True,True
Portfolio,config_weights,0.05,0.12,0.1,0.15,Portfolio config_weights qqq=0.05/0.12 spy=0.10/0.15,0.038791362946228425,0.037503130151556485,0.0012882327946719396,0.8692790127340393,0.8667947778168448,0.0024842349171945166,-0.07901604652486238,-0.07672021888517588,0.0022958276396864985,13.463534268935923,220,195761.59306199205,True,True,True
Portfolio,config_weights,0.05,0.15,0.1,0.1,Portfolio config_weights qqq=0.05/0.15 spy=0.10/0.10,0.038791362946228425,0.03745233054958552,0.001339032396642903,0.8692790127340393,0.86563540172036,0.003643611013679271,-0.07901604652486238,-0.07677484217883868,0.0022412043460237063,13.444271556440999,220,195586.78566556078,True,True,True
Portfolio,config_weights,0.05,0.1,0.1,0.15,Portfolio config_weights qqq=0.05/0.10 spy=0.10/0.15,0.038791362946228425,0.03749262468026249,0.0012987382659659374,0.8692790127340393,0.8666741655754562,0.0026048471585831123,-0.07901604652486238,-0.07677934270453124,0.002236703820331143,13.45370462842597,220,195725.4303942155,True,True,True
Portfolio,config_weights,0.1,0.2,0.1,0.1,Portfolio config_weights qqq=0.10/0.20 spy=0.10/0.10,0.038791362946228425,0.03695459040089344,0.001836772545334986,0.8692790127340393,0.8641460079680527,0.0051330047659865485,-0.07901604652486238,-0.07678111503432905,0.0022349314905333317,12.916889961255926,220,193881.79054236916,True,True,True
Portfolio,config_weights,0.05,0.12,0.1,0.12,Portfolio config_weights qqq=0.05/0.12 spy=0.10/0.12,0.038791362946228425,0.0374670884181465,0.0013242745280819257,0.8692790127340393,0.866086892799442,0.0031921199345973372,-0.07901604652486238,-0.07680101112487792,0.0022150353999844663,13.443690378695484,220,195637.55401340596,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.1,0.05,0.15,Portfolio equal_weight_full_capital qqq=0.00/0.10 spy=0.05/0.15,0.09000048081758605,0.0891784167252534,0.0008220640923326528,0.8692790127340394,0.8690534646638585,0.00022554807018093648,-0.17842778244744828,-0.17622958678613387,0.002198195661314406,33.96617278311041,220,475196.39716287004,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.12,0.05,0.15,Portfolio equal_weight_full_capital qqq=0.00/0.12 spy=0.05/0.15,0.09000048081758605,0.0891784167252534,0.0008220640923326528,0.8692790127340394,0.8690534646638585,0.00022554807018093648,-0.17842778244744828,-0.17622958678613387,0.002198195661314406,33.96617278311041,220,475196.39716287004,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.15,0.05,0.15,Portfolio equal_weight_full_capital qqq=0.00/0.15 spy=0.05/0.15,0.09000048081758605,0.0891784167252534,0.0008220640923326528,0.8692790127340394,0.8690534646638585,0.00022554807018093648,-0.17842778244744828,-0.17622958678613387,0.002198195661314406,33.96617278311041,220,475196.39716287004,True,True,True
