Segment,Name,Start,End,Total Return,CAGR,Max Drawdown,Annual Avg Max Drawdown,Sharpe,Volatility,Final Equity,Average Position,Min Position,Max Position,Turnover,Trade Count
Full,QQQ Base,2008-01-31,2026-04-30,5.413708075271187,0.10722833067586479,-0.20175178060000953,-0.07193218300875774,0.8940765491656809,0.12214542259045436,641370.8075271187,0.731077892684214,0.0,1.0,43.421348977726154,155
Full,SPY Base,2008-01-31,2026-04-30,2.539286182506121,0.07173089935570154,-0.1551843666002508,-0.06190614159012291,0.7488160994373855,0.09883375314545395,353928.6182506121,0.7405149167143014,0.0,1.0,26.38653005451441,178
Full,SPY Selected Ladder,2008-01-31,2026-04-30,2.5481379640972754,0.07187763756165944,-0.13958586592693345,-0.062110844972522984,0.7493800821215251,0.0989587552155688,354813.79640972754,0.7436967348961198,0.0,1.0,26.439668241193317,182
Full,Portfolio Base config weights,2008-01-31,2026-04-30,1.002442266021999,0.038791362946228425,-0.07901604652486238,-0.02793781746509276,0.8692790127340393,0.04478806909245545,200244.2266021999,0.3127134719971845,0.0,0.425,14.834174294351122,187
Full,Portfolio SPY-only Ladder config weights,2008-01-31,2026-04-30,1.0035687166200087,0.038823382869062506,-0.07540719147495534,-0.027973713338473993,0.8695640639932719,0.044809900381281284,200356.87166200086,0.31338960836082086,0.0,0.425,14.84546615902039,189
Full,Portfolio Base 50/50,2008-01-31,2026-04-30,3.817828752623628,0.09000048081758605,-0.17842778244744828,-0.06504215665904742,0.8692790127340394,0.10538369198224813,481782.87526236277,0.7357964046992578,0.0,1.0,34.90393951612028,187
Full,Portfolio SPY-only Ladder 50/50,2008-01-31,2026-04-30,3.8239064810241308,0.09007580129616533,-0.17088763585954947,-0.06513300094248745,0.8695640639932721,0.10543505972066183,482390.6481024131,0.7373873137901668,0.0,1.0,34.930508609459736,189
2008-2013,QQQ Base,2008-01-31,2013-12-31,0.6401389492338654,0.08722368631008792,-0.11204344636836394,-0.07483983495422336,0.759454699389975,0.11801849265335378,164013.89492338654,0.6396364663544214,0.0,1.0,15.256776764477667,51
2008-2013,SPY Base,2008-01-31,2013-12-31,0.4705445779459767,0.0673503389368253,-0.13665073597305866,-0.06259491403677835,0.7549350928163269,0.0907595828150618,147054.45779459766,0.6301545410791685,0.0,1.0,8.264140189790137,50
2008-2013,SPY Selected Ladder,2008-01-31,2013-12-31,0.4383346721633512,0.0633624653981939,-0.13665073597305888,-0.06506658665603138,0.7122309693611681,0.09102280816563217,143833.46721633512,0.6336267633013907,0.0,1.0,8.513865378772211,54
2008-2013,Portfolio Base config weights,2008-01-31,2013-12-31,0.21664986313684986,0.033700209238553214,-0.04900237977151212,-0.029169164785296558,0.7967592742540455,0.04217873683437153,121664.98631368499,0.2698305890796378,0.0,0.425,4.998194852781909,57
2008-2013,Portfolio SPY-only Ladder config weights,2008-01-31,2013-12-31,0.21094931650620774,0.03287999365116279,-0.04900237977151212,-0.02969222043660878,0.7776602804569814,0.04220677099967084,121094.93165062077,0.27056843630186006,0.0,0.425,5.051261455440599,59
2008-2013,Portfolio Base 50/50,2008-01-31,2013-12-31,0.5586677075664241,0.07790132292875707,-0.11343617195672484,-0.06777242195381095,0.7967592742540457,0.09924408666910947,155866.77075664242,0.6348955037167949,0.0,1.0,11.760458477133904,57
2008-2013,Portfolio SPY-only Ladder 50/50,2008-01-31,2013-12-31,0.5415705714600243,0.07589374502223634,-0.11343617195672462,-0.06895297737333733,0.7776602804569814,0.0993100494109902,154157.05714600242,0.636631614827906,0.0,1.0,11.88532107162494,59
2014-2019,QQQ Base,2014-01-31,2019-12-31,0.7213212697351137,0.09618435157510485,-0.12676752780742762,-0.06183823103936781,0.884213302526978,0.10946758923056807,172132.12697351136,0.7992533749464867,0.006048589897155895,1.0,16.369962056705084,64
2014-2019,SPY Base,2014-01-31,2019-12-31,0.37994625725641606,0.05596689945503752,-0.11354645872368219,-0.04647382596748192,0.6850323113548403,0.08360152754126267,137994.6257256416,0.8112784531205642,0.013247023040330515,1.0,10.064054420249931,72
2014-2019,SPY Selected Ladder,2014-01-31,2019-12-31,0.37994625725641606,0.05596689945503752,-0.11354645872368219,-0.04647382596748192,0.6850323113548403,0.08360152754126267,137994.6257256416,0.8112784531205642,0.013247023040330515,1.0,10.064054420249931,72
2014-2019,Portfolio Base config weights,2014-01-31,2019-12-31,0.21105827165406232,0.03291117796248266,-0.04745512338813529,-0.02107554275083558,0.8241362046010906,0.03972434367367628,121105.82716540623,0.3422380134642483,0.004100317749215862,0.425,5.192228501352941,71
2014-2019,Portfolio SPY-only Ladder config weights,2014-01-31,2019-12-31,0.21105827165406232,0.03291117796248266,-0.04745512338813529,-0.02107554275083558,0.8241362046010906,0.03972434367367628,121105.82716540623,0.3422380134642483,0.004100317749215862,0.425,5.192228501352941,71
2014-2019,Portfolio Base 50/50,2014-01-31,2019-12-31,0.5447385246789511,0.07630374678858698,-0.1100865902468956,-0.04931261216947767,0.824136204601091,0.09346904393806182,154473.8524678951,0.8052659140335255,0.009647806468743206,1.0,12.217008238477508,71
2014-2019,Portfolio SPY-only Ladder 50/50,2014-01-31,2019-12-31,0.5447385246789511,0.07630374678858698,-0.1100865902468956,-0.04931261216947767,0.824136204601091,0.09346904393806182,154473.8524678951,0.8052659140335255,0.009647806468743206,1.0,12.217008238477508,71
2020-2022,QQQ Base,2020-01-31,2022-12-31,0.23848763235442094,0.07611310225332724,-0.19974370232548888,-0.09284132398460354,0.5549195030732684,0.14790373710134255,123848.7632354421,0.6326769239771063,0.0,1.0,8.242503215873324,18
2020-2022,SPY Base,2020-01-31,2022-12-31,0.15046933101751603,0.049246595030674856,-0.1447696118868298,-0.09023294945693013,0.4142105682573708,0.13400238846848572,115046.93310175161,0.679880055758002,0.0,1.0,5.248587413456647,27
2020-2022,SPY Selected Ladder,2020-01-31,2022-12-31,0.1718273908358392,0.05588670255205108,-0.13440596522046833,-0.08658605897362415,0.45960163999967696,0.13424388815122834,117182.73908358392,0.6896022779802242,0.031605952977754724,1.0,5.104779845691227,27
