Data,Zamkniecie,Open,High,Low,Volume
1999-03-10,43.128658294677734,43.18144735011798,43.2078418778381,42.46879510167471,5232000
1999-03-11,43.33981704711914,43.4453951641645,43.696143192147225,42.495192110756285,9688600
1999-03-12,42.284019470214844,43.18143311689855,43.20782763591866,41.94089072295343,8743600
1999-03-15,43.4981803894043,42.60076647360348,43.55096944327493,42.15205951570307,6369000
1999-03-16,43.867698669433594,43.68293700235415,44.052460336513036,43.207835572721294,4905800
1999-03-17,43.55095672607422,43.867690956809305,43.920479995265154,43.4189841299346,3965000
1999-03-18,44.39558410644531,43.49817039680254,44.42197862731716,43.48497313636662,4848400
1999-03-19,43.2606201171875,44.976263990047286,44.976263990047286,43.23422559606658,7160400
1999-03-22,42.73273849487305,43.44539071189687,43.55096881812262,42.653554915203735,5024800
1999-03-23,41.228240966796875,42.49517794913122,42.65354507192301,41.149057405400974,10962400
1999-03-24,42.62714767456055,41.597761445886945,42.65354219324448,40.96429299747243,8447000
1999-03-25,44.18443298339844,43.2870191713103,44.18443298339844,43.00327803954713,8133800
1999-03-26,43.70934295654297,43.81492107962641,44.316417164272735,43.524581241146954,8256200
1999-03-29,45.292991638183594,44.23721094731684,45.31938615545526,43.97326577460015,5113800
1999-03-30,44.97626495361328,45.240210170477205,45.6097334740867,44.79150330180853,4940600
1999-03-31,44.31641387939453,45.71532390655827,45.76811296418709,44.18444123532248,8256600
1999-04-01,45.24021530151367,45.60973864703362,45.66252769639361,44.501168610473776,8715800
1999-04-05,46.87666320800781,45.97265098116419,46.94264950193801,45.688909917264375,5697200
1999-04-06,46.96904754638672,46.82387768883958,47.4837406776902,46.42795989552921,7522400
1999-04-07,46.480751037597656,47.404559263785,47.51013734677784,45.47775924916568,11923600
1999-04-08,46.85027313232422,46.40156629105689,47.07462655295788,45.451363568373125,7952400
1999-04-09,47.14061737060547,46.77109405415056,47.24619546102116,46.639121441130946,4946800
1999-04-12,46.82390213012695,46.03206613018118,47.14063653010527,45.979277063518126,10934000
1999-04-13,46.190406799316406,47.11421493530273,47.21979300798689,45.82088354492188,9962200
1999-04-14,44.606746673583984,46.77109769561587,46.82388674493372,44.34940005815946,21253800
1999-04-15,45.21382522583008,44.76511826211782,45.286410175842356,43.18144662548629,17650600
1999-04-16,43.89408874511719,45.10823672002722,45.10823672002722,43.65653805437392,17274000
1999-04-19,41.83531951904297,44.18443209771478,44.553955424696866,41.39321125283226,19460600
1999-04-20,42.7855224609375,41.650557953953964,43.12865126537438,41.25464010268064,17413600
1999-04-21,44.897090911865234,43.181446638337164,44.92348543915028,42.60076703806613,10940400
1999-04-22,46.111236572265625,45.31940079827137,46.24320920126467,45.022462383023516,13630600
1999-04-23,46.71831512451172,45.87369021830586,47.06144399265785,45.398588708565065,7064400
1999-04-26,47.79387283325195,47.035030450838036,48.143600192103584,46.88326197435526,5421000
1999-04-27,47.061431884765625,48.14360726742148,48.381157961175205,46.460956519999264,16482800
1999-04-28,45.45137405395508,46.665522257486984,46.823889414469406,45.24681647618612,7676800
1999-04-29,45.08184814453125,45.240215292579954,45.50416053932779,44.13164525623902,19148200
1999-04-30,45.3721923828125,45.71532123736547,45.95287198282523,43.76212621914085,15295200
1999-05-03,45.13463592529297,45.24021402102465,45.42497568855509,44.37579336222152,11109800
1999-05-04,44.42197036743164,45.21380584635199,45.92645777738031,44.158025207791525,15428400
1999-05-05,45.768104553222656,44.448378355032844,45.768104553222656,43.10225763287924,12642600
1999-05-06,44.10523223876953,45.34577437833995,45.741692082458165,43.68292002104343,15173400
1999-05-07,44.73869705200195,44.50114644818601,44.87066960967748,43.55094403292225,16430400
1999-05-10,45.18743896484375,45.02907177220995,45.49097608405853,44.501181130097294,10604200
1999-05-11,45.90007400512695,45.55694521727954,46.13762470440593,45.29299999585845,8800800
1999-05-12,46.85027313232422,46.11122657023685,47.00864025277151,44.76510604643486,12507400
1999-05-13,45.979251861572266,47.21979424819333,47.29897780478617,45.768095710658045,9864000
1999-05-14,45.108253479003906,45.081858948003905,45.60974956800395,44.76512457600388,12205400
1999-05-17,45.91987609863281,44.71232654754073,46.0584473585942,44.270218241949635,9906800
1999-05-18,45.71531677246094,45.87368392063343,46.1376291675876,45.18742627855261,9267800
1999-05-19,46.34880065917969,45.90009359129469,46.37519519258469,45.187441189359696,7985600
1999-05-20,45.07526779174805,46.44778363140309,46.44778363140309,45.0026828194586,5997200
1999-05-21,44.65953063964844,45.21381559439585,45.34578820266904,44.42197994475669,10958600
1999-05-24,43.524566650390625,44.73871465883087,44.817898224598714,43.23422690924187,9569800
1999-05-25,42.099266052246094,43.47178130912183,44.10524988921832,41.91450438305128,17771200
1999-05-26,43.27381896972656,42.65354770056611,43.44538336332414,41.33382159596938,26772000
