Data,Zamkniecie,Open,High,Low,Volume
1993-01-29,43.9375,43.96875,43.96875,43.75,1003200
1993-02-01,44.25,43.96875,44.25,43.96875,480500
1993-02-02,44.34375,44.21875,44.375,44.125,201300
1993-02-03,44.8125,44.40625,44.84375,44.375,529400
1993-02-04,45.0,44.96875,45.09375,44.46875,531500
1993-02-05,44.96875,44.96875,45.0625,44.71875,492100
1993-02-08,44.96875,44.96875,45.125,44.90625,596100
1993-02-09,44.65625,44.8125,44.8125,44.5625,122100
1993-02-10,44.71875,44.65625,44.75,44.53125,379600
1993-02-11,44.9375,44.78125,45.125,44.78125,19500
1993-02-12,44.59375,44.875,44.875,44.59375,42500
1993-02-16,43.46875,44.46875,44.46875,43.40625,374800
1993-02-17,43.4375,43.46875,43.53125,43.28125,210900
1993-02-18,43.40625,43.9375,43.9375,42.8125,378100
1993-02-19,43.5625,43.40625,43.5625,43.34375,34900
1993-02-22,43.71875,43.6875,43.78125,43.5625,513600
1993-02-23,43.6875,43.84375,43.875,43.46875,373700
1993-02-24,44.25,43.71875,44.25,43.71875,26300
1993-02-25,44.34375,44.21875,44.375,44.125,44500
1993-02-26,44.40625,44.4375,44.4375,44.1875,66200
1993-03-01,44.28125,44.5625,44.5625,44.21875,66500
1993-03-02,44.9375,44.3125,44.9375,44.25,182400
1993-03-03,45.125,45.0,45.15625,44.9375,280100
1993-03-04,44.875,45.1875,45.1875,44.875,89500
1993-03-05,44.75,44.9375,45.125,44.71875,40000
1993-03-08,45.75,44.84375,45.75,44.84375,50800
1993-03-09,45.59375,45.65625,45.6875,45.5,169300
1993-03-10,45.6875,45.59375,45.6875,45.40625,194400
1993-03-11,45.5625,45.71875,45.84375,45.5,70900
1993-03-12,45.09375,45.1875,45.21875,44.8125,643600
1993-03-15,45.3125,45.0625,45.3125,45.0625,310800
1993-03-16,45.3125,45.3125,45.4375,45.3125,30800
1993-03-17,45.03125,45.25,45.25,44.96875,21800
1993-03-18,45.3125,45.21875,45.5,45.21875,59300
1993-03-19,45.03125,45.28125,45.28125,45.03125,66900
1993-03-22,44.78125,44.59375,44.875,44.5625,183400
1993-03-23,44.875,44.90625,44.9375,44.8125,55200
1993-03-24,44.875,44.8125,45.0625,44.59375,37200
1993-03-25,45.15625,44.90625,45.25,44.84375,110100
1993-03-26,44.90625,45.125,45.15625,44.875,101500
1993-03-29,45.09375,44.9375,45.3125,44.9375,87100
1993-03-30,45.21875,45.15625,45.21875,45.09375,56000
1993-03-31,45.1875,45.34375,45.46875,45.1875,111600
1993-04-01,45.03125,45.25,45.25,44.9375,129500
1993-04-02,44.09375,44.65625,44.65625,44.09375,59400
1993-04-05,44.3125,44.4375,44.4375,44.1875,172200
1993-04-06,44.1875,44.40625,44.40625,44.0625,129700
1993-04-07,44.34375,44.25,44.34375,44.15625,28000
1993-04-08,44.28125,44.53125,44.53125,44.09375,180800
1993-04-12,44.90625,44.71875,44.9375,44.65625,348500
1993-04-13,45.0,44.875,45.15625,44.84375,146100
1993-04-14,44.9375,45.03125,45.0625,44.90625,119600
1993-04-15,44.9375,44.90625,45.03125,44.75,148600
1993-04-16,44.9375,44.96875,45.03125,44.875,47900
1993-04-19,44.75,44.9375,45.0625,44.71875,157000
1993-04-20,44.53125,44.6875,44.75,44.25,279500
1993-04-21,44.5,44.625,44.625,44.375,67900
1993-04-22,43.9375,44.3125,44.6875,43.9375,97700
1993-04-23,43.75,43.84375,43.96875,43.6875,106000
1993-04-26,43.40625,43.78125,43.9375,43.28125,62600
1993-04-27,43.875,43.34375,43.875,43.34375,156800
1993-04-28,43.78125,43.8125,43.90625,43.71875,85900
1993-04-29,43.96875,43.875,43.96875,43.625,85000
1993-04-30,44.03125,44.125,44.28125,44.03125,88500
1993-05-03,44.3125,44.09375,44.3125,43.90625,80500
1993-05-04,44.46875,44.40625,44.625,44.34375,149100
1993-05-05,44.59375,44.46875,44.75,44.46875,109000
1993-05-06,44.4375,44.53125,44.5625,44.40625,54700
1993-05-07,44.34375,44.46875,44.46875,44.28125,68000
1993-05-10,44.4375,44.40625,44.6875,44.40625,113900
1993-05-11,44.625,44.4375,44.625,44.3125,42600
1993-05-12,44.5625,44.4375,44.59375,44.4375,31000
1993-05-13,44.03125,44.375,44.375,44.0,129100
1993-05-14,44.0,44.03125,44.15625,43.96875,63500
1993-05-17,44.15625,44.125,44.15625,43.9375,34000
1993-05-18,44.125,44.1875,44.21875,43.96875,105200
1993-05-19,45.03125,44.125,45.03125,43.84375,50200
1993-05-20,45.15625,45.03125,45.15625,44.9375,98200
1993-05-21,44.75,45.1875,45.25,44.71875,221400
1993-05-24,44.9375,44.84375,45.09375,44.84375,30500
1993-05-25,45.03125,45.125,45.125,45.03125,191800
1993-05-26,45.59375,45.15625,45.625,45.125,102400
1993-05-27,45.4375,45.65625,45.65625,45.375,53800
1993-05-28,45.21875,45.40625,45.40625,45.0,79100
1993-06-01,45.65625,45.375,45.8125,45.3125,28300
1993-06-02,45.59375,45.53125,45.75,45.34375,20300
1993-06-03,45.4375,45.5,45.5,45.34375,21600
1993-06-04,45.28125,45.3125,45.3125,45.09375,32000
1993-06-07,45.125,45.375,45.375,45.125,121400
1993-06-08,44.71875,45.0,45.0,44.71875,104500
1993-06-09,44.875,44.875,45.0625,44.8125,43300
1993-06-10,44.90625,44.84375,44.9375,44.75,17900
1993-06-11,45.09375,45.0625,45.15625,44.90625,647400
1993-06-14,45.03125,45.15625,45.1875,45.03125,64200
1993-06-15,44.9375,45.09375,45.125,44.9375,142400
1993-06-16,45.03125,44.9375,45.03125,44.8125,330900
1993-06-17,45.1875,45.125,45.1875,45.03125,37400
1993-06-18,44.5,44.84375,44.84375,44.5,58500
1993-06-21,44.59375,44.625,44.625,44.53125,29300
1993-06-22,44.625,44.65625,44.65625,44.5625,137500
1993-06-23,44.21875,44.625,44.625,44.21875,227600
1993-06-24,44.8125,44.34375,44.8125,44.34375,243700
1993-06-25,44.78125,44.78125,44.90625,44.75,44800
1993-06-28,45.28125,45.0,45.28125,44.9375,439900
1993-06-29,45.0625,45.21875,45.21875,45.0,207500
