英雄 ID,英雄名称,英雄评级,英雄胜率,英雄出场率,海克斯阶级,海克斯名称,海克斯胜率,海克斯出场率,胜率差,综合得分
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,秘术冲拳,0.49397886458589335,0.1775382870107771,0.03274582649522623,1.3659107396389039
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,科学狂人,0.5241379310344828,0.006326628561455561,0.06290489294381568,1.1556284270747088
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,小丑学院,0.5168776371308017,0.02068153060779266,0.05564459904013458,1.0926055138282111
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,夺金,0.5128205128205128,0.008508224617129892,0.05158747472984565,0.9719472467163183
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,巨人杀手,0.49955396966993754,0.04891138356821851,0.03832093157927041,0.9167492315422612
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,巨像的勇气,0.5,0.005410358218072342,0.038766961909332875,0.7403088333539776
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,史上最大雪球,0.49491525423728816,0.02574283345695711,0.033682216146621036,0.7396590105046966
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,虚空裂隙,0.493411420204978,0.029800602120511367,0.0321783821143109,0.73119293125892
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,当心小蛋糕！,0.49310344827586206,0.012653257122911122,0.03187041018519493,0.65339677600049
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,无限循环往复,0.48502994011976047,0.036432654129761335,0.023796902029093348,0.6163851724227144
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,量子计算,0.4908424908424908,0.01191151446398185,0.029609452751823695,0.6117194814722305
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,不祥契约,0.49065420560747663,0.009337231118286137,0.02942116751680951,0.597618842962634
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,最终形态,0.49019607843137253,0.002225227976787818,0.028963040340705404,0.5597205263437715
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,残忍,0.4724576271186441,0.06178280029669706,0.011224589027976961,0.5093346915008802
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,任务：沃格勒特的巫师帽,0.47586206896551725,0.04428639993018892,0.014629030874850124,0.4933417020933379
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,质变：混沌,0.4779050736497545,0.02665910380034033,0.01667203555908736,0.453588547168696
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,珠光护手,0.4645161290322581,0.06762947772590427,0.0032830909415909604,0.39870389900505554
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,尤里卡,0.4619849100406268,0.07517780007853746,0.0007518719499596815,0.38749329128745025
518,万花通灵,5,0.4612330380906671,0.006186263789802531,棱彩,男爵之手,0.47540983606557374,0.002661547187922684,0.014176797974906619,0.30952763068297046
