英雄 ID,英雄名称,英雄评级,英雄胜率,英雄出场率,海克斯ID,源站排名,源站层级,海克斯阶级,海克斯名称,海克斯胜率,海克斯出场率,胜率差,综合得分
518,万花通灵,4,0.460224,0.005219,2031,1,T1,棱彩,空投熊,0.503401,0.002352,0.043176999999999965,1.3166764525881356
518,万花通灵,4,0.460224,0.005219,1180,2,T1,黄金,超强大脑,0.48784,0.107019,0.027615999999999974,1.2821417212907944
518,万花通灵,4,0.460224,0.005219,1156,3,T1,棱彩,沃格勒特的巫师帽,0.488803,0.070496,0.028578999999999966,1.1967821725294971
518,万花通灵,4,0.460224,0.005219,1337,4,T1,棱彩,尊我为王,0.494774,0.003061,0.03454999999999997,1.1306122862104788
518,万花通灵,4,0.460224,0.005219,1053,5,T1,棱彩,科学狂人,0.493578,0.002907,0.033353999999999995,1.1040826634981844
518,万花通灵,4,0.460224,0.005219,1388,6,T1,棱彩,无限循环往复,0.487943,0.053525,0.027718999999999994,1.128606428904025
518,万花通灵,4,0.460224,0.005219,1323,7,T1,棱彩,残忍,0.478786,0.134752,0.018561999999999967,1.165463337622902
518,万花通灵,4,0.460224,0.005219,1030,8,T1,棱彩,尤里卡,0.474597,0.152528,0.01437299999999997,1.1258798740516518
518,万花通灵,4,0.460224,0.005219,1305,9,T1,白银,练腿日,0.489107,0.014688,0.028882999999999992,1.0408914184892617
518,万花通灵,4,0.460224,0.005219,2062,10,T1,棱彩,回响施放,0.482264,0.072469,0.022040000000000004,1.0599319229478112
518,万花通灵,4,0.460224,0.005219,1318,11,T1,白银,升级：中娅,0.469689,0.17648,0.009465000000000001,1.0886024945265858
518,万花通灵,4,0.460224,0.005219,1389,12,T1,棱彩,男爵之手,0.486911,0.002037,0.02668699999999996,0.9561619378936765
518,万花通灵,4,0.460224,0.005219,2132,13,T1,黄金,术士果汁盒,0.471277,0.136571,0.01105299999999998,1.0070118440966471
518,万花通灵,4,0.460224,0.005219,1105,14,T1,白银,家园卫士,0.483986,0.011989,0.023762000000000005,0.9213580094075431
518,万花通灵,4,0.460224,0.005219,1004,15,T2,棱彩,回归基本功,0.483491,0.002261,0.023266999999999982,0.882234363632441
518,万花通灵,4,0.460224,0.005219,2077,16,T1,黄金,贪欲束缚,0.464972,0.156752,0.0047479999999999745,0.9282884682777746
518,万花通灵,4,0.460224,0.005219,1390,17,T1,黄金,超凡邪恶,0.465323,0.151648,0.005098999999999965,0.9210792154458483
518,万花通灵,4,0.460224,0.005219,1308,18,T2,白银,火狐,0.480513,0.011221,0.020289,0.8433858332480884
518,万花通灵,4,0.460224,0.005219,1038,19,T2,黄金,有始有终,0.480392,0.004352,0.020167999999999964,0.8207437760364628
518,万花通灵,4,0.460224,0.005219,1333,20,T2,白银,逃跑计划,0.477712,0.01352,0.017488000000000004,0.7889994501567151
518,万花通灵,4,0.460224,0.005219,1420,21,T2,黄金,咏叹奏鸣,0.477462,0.006389,0.017237999999999976,0.7627813140744024
518,万花通灵,4,0.460224,0.005219,1097,22,T1,白银,巫师式思考,0.458078,0.180336,-0.0021460000000000368,-0.04725855175973459
518,万花通灵,4,0.460224,0.005219,2083,23,T2,黄金,牙仙子,0.469636,0.040837,0.009411999999999976,0.6924368529681161
518,万花通灵,4,0.460224,0.005219,1133,24,T1,黄金,魔法飞弹,0.451506,0.207365,-0.008718000000000004,-0.2692859880125664
518,万花通灵,4,0.460224,0.005219,1195,25,T2,棱彩,巨人杀手,0.47268,0.006149,0.012455999999999967,0.6578013975824474
518,万花通灵,4,0.460224,0.005219,1402,26,T2,棱彩,属性叠属性叠属性！,0.472325,0.002891,0.012100999999999973,0.6405722024016305
518,万花通灵,4,0.460224,0.005219,1329,27,T2,棱彩,史上最大雪球,0.471527,0.010021,0.011302999999999952,0.6439337053438517
518,万花通灵,4,0.460224,0.005219,1098,28,T1,黄金,急急小子,0.466064,0.055477,0.005839999999999956,0.6571758640140698
518,万花通灵,4,0.460224,0.005219,1211,29,T1,黄金,杀戮时间到了,0.458748,0.122757,-0.0014760000000000328,0.13502958625266331
518,万花通灵,4,0.460224,0.005219,1136,30,T1,白银,扇巴掌,0.459273,0.113931,-0.0009510000000000352,0.1721807015241868
518,万花通灵,4,0.460224,0.005219,2127,31,T2,白银,大师铸就,0.468387,0.016533,0.008162999999999976,0.5944235522538077
518,万花通灵,4,0.460224,0.005219,2116,32,T1,黄金,威能之追求,0.461883,0.070171,0.001658999999999966,0.6087916757190284
518,万花通灵,4,0.460224,0.005219,1415,33,T2,白银,双生火焰,0.467636,0.014667,0.007411999999999974,0.572612473867136
518,万花通灵,4,0.460224,0.005219,1404,34,T2,白银,属性！,0.468125,0.008533,0.007900999999999991,0.5654130925152344
518,万花通灵,4,0.460224,0.005219,1068,35,T2,黄金,循环往复,0.466427,0.020731,0.0062029999999999585,0.5639069765085456
518,万花通灵,4,0.460224,0.005219,1060,36,T2,白银,海洋龙魂,0.467385,0.009403,0.007160999999999973,0.5518094750553564
518,万花通灵,4,0.460224,0.005219,1243,37,T2,棱彩,质变：混沌,0.467001,0.007435,0.0067769999999999775,0.5377045232938731
518,万花通灵,4,0.460224,0.005219,1353,38,T2,黄金,坦克引擎,0.467188,0.003413,0.00696399999999997,0.5300698480454342
518,万花通灵,4,0.460224,0.005219,2005,39,T2,棱彩,扳机炼狱,0.467128,0.001541,0.006903999999999966,0.5233099240039008
518,万花通灵,4,0.460224,0.005219,1034,40,T2,白银,防护面纱,0.464719,0.009675,0.004494999999999971,0.4944641501872553
518,万花通灵,4,0.460224,0.005219,1046,41,T2,白银,炼狱龙魂,0.462913,0.015819,0.002688999999999997,0.4729728526618736
518,万花通灵,4,0.460224,0.005219,1238,42,T2,黄金,质变：棱彩阶,0.461447,0.026837,0.001222999999999974,0.47308964548795507
518,万花通灵,4,0.460224,0.005219,2032,43,T2,黄金,鲨鱼诱饵,0.461849,0.011883,0.0016249999999999876,0.4383080813723267
518,万花通灵,4,0.460224,0.005219,1416,44,T2,白银,海克斯科技龙魂,0.461568,0.013739,0.0013439999999999563,0.43758522923190224
518,万花通灵,4,0.460224,0.005219,1029,45,T2,黄金,虚幻武器,0.457732,0.043216,-0.0024919999999999942,0.3445073165740731
518,万花通灵,4,0.460224,0.005219,1056,46,T2,白银,由心及物,0.458704,0.03416,-0.0015200000000000213,0.3920759440502742
518,万花通灵,4,0.460224,0.005219,1332,47,T2,棱彩,不祥契约,0.462121,0.001408,0.001896999999999982,0.4137350334992891
518,万花通灵,4,0.460224,0.005219,1112,48,T2,白银,终极不可阻挡,0.452147,0.078629,-0.008077,0.11958808830403572
518,万花通灵,4,0.460224,0.005219,1138,49,T2,白银,渴血,0.459658,0.006544,-0.0005660000000000109,0.4933011541907898
518,万花通灵,4,0.460224,0.005219,2137,50,T2,黄金,轻拍背部,0.457002,0.028032,-0.0032220000000000026,0.3728059789785031
518,万花通灵,4,0.460224,0.005219,2098,51,T3,棱彩,吃过路兵,0.459384,0.001904,-0.0008400000000000074,0.5008383172112828
518,万花通灵,4,0.460224,0.005219,2055,52,T2,棱彩,多重射击,0.45416,0.045259,-0.006064000000000014,0.26066328475623846
518,万花通灵,4,0.460224,0.005219,1181,53,T3,白银,重量级打击手,0.458333,0.001024,-0.0018910000000000315,0.4804818484862132
518,万花通灵,4,0.460224,0.005219,1384,54,T3,黄金,捐赠,0.456491,0.011461,-0.003733000000000042,0.40991949373786074
518,万花通灵,4,0.460224,0.005219,1116,55,T3,黄金,闪现向前,0.456401,0.011499,-0.003823000000000021,0.4078462041349926
518,万花通灵,4,0.460224,0.005219,1072,56,T2,黄金,炽烈黎明,0.449074,0.071163,-0.011150000000000049,0.07431717402192203
518,万花通灵,4,0.460224,0.005219,1403,57,T3,黄金,属性叠属性！,0.454773,0.010672,-0.005451000000000039,0.3747527618418889
518,万花通灵,4,0.460224,0.005219,2095,58,T3,棱彩,掷骰狂人,0.455357,0.004779,-0.00486700000000001,0.4046492158343865
518,万花通灵,4,0.460224,0.005219,1375,59,T2,黄金,吞噬灵魂,0.447419,0.064357,-0.01280500000000001,0.05804656052686788
518,万花通灵,4,0.460224,0.005219,1129,60,T3,黄金,神射法师,0.453481,0.008197,-0.006742999999999999,0.3537856548173414
518,万花通灵,4,0.460224,0.005219,1151,61,T3,黄金,面包和奶酪,0.452088,0.017365,-0.008136000000000032,0.2967101279495208
518,万花通灵,4,0.460224,0.005219,2018,62,T3,白银,纯粹主义者 - 术师,0.450172,0.032485,-0.010052000000000005,0.21089655762431936
518,万花通灵,4,0.460224,0.005219,1103,63,T3,黄金,面包和黄油,0.451867,0.015568,-0.008357000000000003,0.2971238793585147
518,万花通灵,4,0.460224,0.005219,1237,64,T3,白银,质变：黄金阶,0.449823,0.022587,-0.010401000000000049,0.23211016934695952
518,万花通灵,4,0.460224,0.005219,1002,65,T3,黄金,尖端发明家,0.451334,0.007397,-0.008890000000000009,0.3092957594725107
518,万花通灵,4,0.460224,0.005219,1345,66,T3,黄金,心灵净化,0.450858,0.006837,-0.009366000000000041,0.30054642634430767
518,万花通灵,4,0.460224,0.005219,1373,67,T3,黄金,缩小引擎,0.44956,0.013323,-0.010664000000000007,0.2533528922528779
518,万花通灵,4,0.460224,0.005219,1205,68,T3,白银,物理转魔法,0.449072,0.012933,-0.011151999999999995,0.24384681341972927
518,万花通灵,4,0.460224,0.005219,1349,69,T3,棱彩,终极唤醒,0.445545,0.044709,-0.014678999999999998,0.07439777374592779
518,万花通灵,4,0.460224,0.005219,1011,70,T3,棱彩,你摸不到,0.444076,0.048256,-0.016147999999999996,0.03203399130747271
518,万花通灵,4,0.460224,0.005219,1347,71,T3,白银,吵闹鬼,0.448898,0.002661,-0.011326000000000003,0.26996578376796115
518,万花通灵,4,0.460224,0.005219,1113,72,T2,黄金,老练狙神,0.439318,0.087275,-0.020906000000000036,-0.185351995831087
518,万花通灵,4,0.460224,0.005219,1025,73,T3,白银,俯冲轰炸,0.446957,0.016037,-0.013267000000000029,0.18868579122819848
518,万花通灵,4,0.460224,0.005219,1149,74,T3,黄金,不动如山,0.446082,0.023888,-0.014142000000000043,0.14674155643098016
518,万花通灵,4,0.460224,0.005219,1358,75,T3,黄金,弹球,0.447214,0.010912,-0.013010000000000022,0.20921484606685123
518,万花通灵,4,0.460224,0.005219,1062,76,T3,棱彩,全能龙魂,0.447619,0.00336,-0.012605000000000033,0.24003907110902456
518,万花通灵,4,0.460224,0.005219,1081,77,T3,棱彩,踢踏舞,0.447619,0.00112,-0.012605000000000033,0.24656223936502686
518,万花通灵,4,0.460224,0.005219,2034,78,T3,黄金,鲨鱼暴风,0.446411,0.010848,-0.01381300000000002,0.19189021278731908
518,万花通灵,4,0.460224,0.005219,1154,79,T3,棱彩,海牛阿福的勇士,0.446875,0.001707,-0.013349,0.2286284224672711
518,万花通灵,4,0.460224,0.005219,1220,80,T3,棱彩,连拨击锤,0.44522,0.012219,-0.015004000000000017,0.16192556439299818
518,万花通灵,4,0.460224,0.005219,1018,81,T3,棱彩,巨像的勇气,0.442577,0.028235,-0.017647000000000024,0.05764904816301804
518,万花通灵,4,0.460224,0.005219,1194,82,T2,棱彩,精怪魔法,0.436109,0.086523,-0.024114999999999998,-0.2531406921640065
518,万花通灵,4,0.460224,0.005219,2100,83,T3,黄金,急速之追求,0.439351,0.054565,-0.02087300000000003,-0.08937663599330854
518,万花通灵,4,0.460224,0.005219,1020,84,T3,黄金,黎明使者的坚决,0.444828,0.003093,-0.01539600000000002,0.17995331238525705
518,万花通灵,4,0.460224,0.005219,1061,85,T3,黄金,回力OK镖,0.442418,0.024267,-0.017806000000000044,0.06573706406196894
518,万花通灵,4,0.460224,0.005219,2072,86,T3,棱彩,咒语裂变,0.440298,0.043013,-0.019926,-0.03508450996000838
518,万花通灵,4,0.460224,0.005219,2119,87,T3,黄金,过量延伸者,0.444724,0.002123,-0.015500000000000014,0.1805101506978189
518,万花通灵,4,0.460224,0.005219,1057,88,T3,白银,山脉龙魂,0.444215,0.005163,-0.016008999999999995,0.16055752377301097
518,万花通灵,4,0.460224,0.005219,2089,89,T3,黄金,哎哟，我的硬币！,0.44385,0.004987,-0.016374,0.15311050864196135
518,万花通灵,4,0.460224,0.005219,2123,90,T3,棱彩,超负荷,0.441506,0.026624,-0.018718000000000012,0.03898520579324903
518,万花通灵,4,0.460224,0.005219,1045,91,T3,棱彩,炼狱导管,0.442857,0.004853,-0.01736700000000002,0.13184639708782672
518,万花通灵,4,0.460224,0.005219,1311,92,T3,黄金,溢流,0.439423,0.027381,-0.020801000000000014,-0.008643226830574285
518,万花通灵,4,0.460224,0.005219,1044,93,T3,白银,冰寒,0.440051,0.020907,-0.020172999999999996,0.02390468129903149
518,万花通灵,4,0.460224,0.005219,2087,94,T3,黄金,大法师,0.436367,0.052384,-0.023857000000000017,-0.14809732865231268
518,万花通灵,4,0.460224,0.005219,2118,95,T4,棱彩,大招工具人,0.441441,0.001184,-0.01878300000000005,0.11165230548748159
518,万花通灵,4,0.460224,0.005219,1088,96,T2,棱彩,终极刷新,0.431568,0.088224,-0.028656000000000015,-0.3571197451125966
518,万花通灵,4,0.460224,0.005219,2042,97,T3,黄金,藏身草丛,0.43694,0.035691,-0.023284000000000027,-0.08698976169676764
518,万花通灵,4,0.460224,0.005219,1058,98,T4,棱彩,秘术冲拳,0.440594,0.001077,-0.019630000000000036,0.09349338637072759
518,万花通灵,4,0.460224,0.005219,2102,99,T4,黄金,高压锅,0.439834,0.001285,-0.02039000000000002,0.07631435447369114
518,万花通灵,4,0.460224,0.005219,2103,100,T3,黄金,狙神飞星,0.433607,0.045547,-0.026617000000000002,-0.18837438535429551
518,万花通灵,4,0.460224,0.005219,2043,101,T4,黄金,自然即是治愈,0.4375,0.002304,-0.022724000000000022,0.022449390724036164
518,万花通灵,4,0.460224,0.005219,2006,102,T4,棱彩,飞身踢,0.436916,0.004565,-0.023307999999999995,0.0031297881180577317
518,万花通灵,4,0.460224,0.005219,2082,103,T4,黄金,我们的治疗,0.437126,0.001781,-0.023098000000000007,0.015816621375648994
518,万花通灵,4,0.460224,0.005219,1084,104,T4,黄金,穿针引线,0.435148,0.012048,-0.025076000000000043,-0.05721642155104751
518,万花通灵,4,0.460224,0.005219,2088,105,T4,白银,下雪天,0.434048,0.016416,-0.026176000000000033,-0.09392428391794758
518,万花通灵,4,0.460224,0.005219,1301,106,T4,黄金,神圣干预,0.434939,0.007419,-0.025285000000000002,-0.048293837875732715
518,万花通灵,4,0.460224,0.005219,1013,107,T4,黄金,星界躯体,0.435262,0.001936,-0.02496200000000004,-0.025282979911533124
518,万花通灵,4,0.460224,0.005219,12317,108,T4,棱彩,潘朵拉的盒子,0.43318,0.004629,-0.027044000000000012,-0.07852748668520272
518,万花通灵,4,0.460224,0.005219,2026,109,T4,白银,杀意翻涌,0.432578,0.004944,-0.027646000000000004,-0.09257261261134186
518,万花通灵,4,0.460224,0.005219,1204,110,T4,白银,叠角龙,0.431655,0.000741,-0.02856900000000001,-0.10046078354444722
518,万花通灵,4,0.460224,0.005219,1074,111,T4,黄金,缩小射线,0.431058,0.003984,-0.029166000000000025,-0.12292358733387174
518,万花通灵,4,0.460224,0.005219,1152,112,T4,黄金,钢化你心,0.431138,0.000891,-0.029086,-0.11217181445312134
518,万花通灵,4,0.460224,0.005219,1028,113,T4,白银,侵蚀,0.429083,0.007445,-0.03114100000000003,-0.1760712614684955
518,万花通灵,4,0.460224,0.005219,1225,114,T4,棱彩,双刀流,0.428571,0.009333,-0.03165300000000004,-0.19273453710445382
518,万花通灵,4,0.460224,0.005219,1051,115,T4,白银,点亮他们！,0.425584,0.004336,-0.034640000000000004,-0.24332009634157684
518,万花通灵,4,0.460224,0.005219,1150,116,T4,黄金,面包和果酱,0.425425,0.005328,-0.034799000000000024,-0.2496762387237738
518,万花通灵,4,0.460224,0.005219,2115,117,T4,棱彩,软弹啪叽抓,0.422601,0.012507,-0.03762300000000002,-0.3321653381694084
518,万花通灵,4,0.460224,0.005219,1071,118,T4,黄金,更万用的瞄准镜,0.422222,0.00264,-0.038002000000000036,-0.31169621200696207
518,万花通灵,4,0.460224,0.005219,2016,119,T4,白银,注魔,0.421488,0.003227,-0.03873600000000005,-0.32941195904773973
518,万花通灵,4,0.460224,0.005219,1087,120,T4,白银,台风,0.419272,0.022859,-0.040952000000000044,-0.4349071497122606
518,万花通灵,4,0.460224,0.005219,1041,121,T4,棱彩,歌利亚巨人,0.420032,0.003301,-0.040192000000000005,-0.3613784277466319
518,万花通灵,4,0.460224,0.005219,2134,122,T4,棱彩,电涌力场,0.419118,0.002176,-0.04110600000000003,-0.37803386790308824
518,万花通灵,4,0.460224,0.005219,1036,123,T4,黄金,火上浇油,0.418448,0.004741,-0.041776000000000035,-0.4001141583995446
518,万花通灵,4,0.460224,0.005219,2080,124,T4,黄金,冰雪爆裂,0.418426,0.002779,-0.041798,-0.3948803156035244
518,万花通灵,4,0.460224,0.005219,1401,125,T4,黄金,生机迸发,0.417431,0.006976,-0.042793000000000025,-0.42880047046688785
518,万花通灵,4,0.460224,0.005219,1170,126,T4,白银,万用瞄准镜,0.416667,0.002816,-0.04355700000000001,-0.43334655220751156
518,万花通灵,4,0.460224,0.005219,1335,127,T4,棱彩,夺金,0.416667,0.00128,-0.04355700000000001,-0.4288735225462529
518,万花通灵,4,0.460224,0.005219,1134,128,T4,棱彩,亮出你的剑,0.415833,0.005861,-0.044391000000000014,-0.4604010101275677
518,万花通灵,4,0.460224,0.005219,1996,129,T4,黄金,升级：耀光,0.415297,0.007461,-0.044926999999999995,-0.4767489603587891
518,万花通灵,4,0.460224,0.005219,1022,130,T4,白银,灵巧,0.413495,0.003083,-0.04672900000000002,-0.5032958492003534
518,万花通灵,4,0.460224,0.005219,1392,131,T4,棱彩,神圣雪球,0.410974,0.004763,-0.049250000000000016,-0.5631636363367745
518,万花通灵,4,0.460224,0.005219,1054,132,T4,棱彩,物法皆修,0.40762,0.013019,-0.05260400000000004,-0.660346800796815
518,万花通灵,4,0.460224,0.005219,1026,133,T5,白银,唯快不破,0.408638,0.003211,-0.05158600000000002,-0.6095851312068511
518,万花通灵,4,0.460224,0.005219,1007,134,T5,白银,大力,0.406124,0.006619,-0.05410000000000004,-0.6743324278123033
518,万花通灵,4,0.460224,0.005219,1326,135,T5,黄金,夜狩,0.403981,0.004555,-0.05624300000000004,-0.7150541645555981
518,万花通灵,4,0.460224,0.005219,2139,136,T5,黄金,豪猪,0.40281,0.002277,-0.05741400000000002,-0.7339563156617854
518,万花通灵,4,0.460224,0.005219,1386,137,T5,白银,转得我眩晕了,0.396581,0.00312,-0.063643,-0.8722469540560954
518,万花通灵,4,0.460224,0.005219,1006,138,T5,棱彩,利刃华尔兹,0.395437,0.001403,-0.06478700000000004,-0.8921940207411266
518,万花通灵,4,0.460224,0.005219,1320,139,T5,白银,升级：收集者,0.388642,0.006011,-0.07158200000000003,-1.0537915775421693
518,万花通灵,4,0.460224,0.005219,1001,140,T5,棱彩,泰坦的坚决,0.388393,0.001195,-0.07183100000000003,-1.0451967052305429
518,万花通灵,4,0.460224,0.005219,1115,141,T5,棱彩,最万用的瞄准镜,0.385321,0.001163,-0.074903,-1.1120945771765645
518,万花通灵,4,0.460224,0.005219,1336,142,T5,黄金,升级：无尽之刃,0.383784,0.007893,-0.07644000000000001,-1.165210540249109
518,万花通灵,4,0.460224,0.005219,1325,143,T5,棱彩,玻璃大炮,0.378788,0.011264,-0.08143600000000001,-1.2839750265953902
518,万花通灵,4,0.460224,0.005219,1322,144,T5,黄金,罪恶快感,0.376855,0.001797,-0.08336900000000003,-1.2985588076817751
518,万花通灵,4,0.460224,0.005219,1079,145,T5,棱彩,战争交响乐,0.365714,0.000933,-0.09451000000000004,-1.5389943561576804
518,万花通灵,4,0.460224,0.005219,1206,146,T5,白银,魔法转物理,0.355289,0.008016,-0.104935,-1.7869587895392645
518,万花通灵,4,0.460224,0.005219,2046,147,T5,棱彩,魄罗蛮冲,0.301587,0.000336,-0.15863700000000003,-2.935672387181883
72,上古领主,3,0.497015,0.002625,1204,1,T1,白银,叠角龙,0.587209,0.007296,0.090194,2.3563730633687276
72,上古领主,3,0.497015,0.002625,1062,2,T1,棱彩,全能龙魂,0.565421,0.004539,0.06840599999999997,1.8732137201962489
72,上古领主,3,0.497015,0.002625,1361,3,T1,棱彩,艾卡西亚的陷落,0.550575,0.107887,0.05356000000000005,1.8504298859364527
