英雄 ID,英雄名称,英雄评级,英雄胜率,英雄出场率,海克斯ID,源站排名,源站层级,海克斯阶级,海克斯名称,海克斯胜率,海克斯出场率,胜率差,综合得分
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1180,1,T1,黄金,超强大脑,0.4859254759011746,0.09104443901562119,0.031191874916611406,1.0720443006268028
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,2132,2,T1,黄金,术士果汁盒,0.46645653358237993,0.1184518020364233,0.01172293259781676,0.606907901733341
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,2077,3,T1,黄金,贪欲束缚,0.4645122406222197,0.1606045660500855,0.009778639637656517,0.6548345005888683
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1390,4,T1,黄金,超凡邪恶,0.46357090747613156,0.14531986780303205,0.008837306491568386,0.5925737873832652
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1030,5,T1,棱彩,尤里卡,0.4630517844077717,0.1133999234843212,0.008318183423208558,0.5019914212063504
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1318,6,T1,白银,升级：中娅,0.4623565631122306,0.13175446763986007,0.007622962127667443,0.5269869931830097
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1323,7,T1,棱彩,残忍,0.46165564066852366,0.10590507446450548,0.00692203968396049,0.44598392782917595
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1097,8,T1,白银,巫师式思考,0.4572411581187859,0.15808784553051639,0.0025075571342227376,0.4505844782768722
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1136,9,T1,白银,扇巴掌,0.45546766769450775,0.10314405689816501,0.0007340667099445808,0.27067663497302663
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1098,10,T1,黄金,急急小子,0.45545638262041094,0.054740975989748746,0.000722781635847769,0.15447121553056747
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,2073,11,T1,白银,虹吸,0.45407748577621243,0.05103964526225058,-0.0006561152083507382,0.13560403870166685
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1129,12,T1,黄金,神射法师,0.4533096926713948,0.05459347588603773,-0.0014239083131683539,0.10616310186598549
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1211,13,T1,黄金,杀戮时间到了,0.45017182130584193,0.1234022742672241,-0.004561779678721234,-0.14413921985830316
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,2100,14,T1,黄金,急速之追求,0.44979070081469147,0.10240655637960995,-0.0049429001698717,-0.10425654201085553
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1205,15,T1,白银,物理转魔法,0.44825690954773867,0.058705041276982145,-0.0064766914368245,-0.04143048978192484
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1415,16,T1,白银,双生火焰,0.4475469213039183,0.06999340858911542,-0.007186679680644847,-0.08781535623952626
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1133,17,T1,黄金,魔法飞弹,0.44723399381514145,0.201222407109505,-0.007499607169421718,-0.41056496012816557
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1072,18,T1,黄金,炽烈黎明,0.4463516913614761,0.08243872983973193,-0.008381909623087047,-0.15019910394835018
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1375,19,T1,黄金,吞噬灵魂,0.4429251617629105,0.07551083434355539,-0.011808439221652645,-0.22702463663235323
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1113,20,T1,黄金,老练狙神,0.4395457273440746,0.09984374207763115,-0.01518787364048857,-0.37741805311251464
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,2087,21,T1,黄金,大法师,0.4366330662531231,0.05350105324292806,-0.018100534731440077,-0.3458585813925833
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1194,22,T1,棱彩,精怪魔法,0.4355896943510962,0.08641201388344726,-0.01914390663346699,-0.45310591358908336
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1088,23,T1,棱彩,终极刷新,0.43278552849373375,0.07797224232423289,-0.021948072490829418,-0.5093445142708686
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1112,24,T1,白银,终极不可阻挡,0.43240033927056826,0.0815168541915381,-0.022333261713994912,-0.5283328482512974
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,2064,25,T1,棱彩,快步,0.4305702217529039,0.0873016238839543,-0.024163379231659288,-0.5920766501122948
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,2103,26,T1,黄金,狙神飞星,0.42555886736214604,0.06185785599380499,-0.029174733622417126,-0.6677726507922238
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1156,27,T2,棱彩,沃格勒特的巫师帽,0.48845504036042803,0.04910831577928453,0.03372143937586486,1.0405920771809394
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1388,28,T2,棱彩,无限循环往复,0.47238909426987064,0.03989877805382832,0.017655493285307466,0.5805514144340678
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,2062,29,T2,棱彩,回响施放,0.4690829528158295,0.048453784069066926,0.014349351831266344,0.5109038992117715
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1056,30,T2,白银,由心及物,0.4664905909541103,0.02792361338379066,0.011756989969547105,0.3910730039917568
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1308,31,T2,白银,火狐,0.464357727434468,0.038861667949610275,0.009624126449904846,0.35911737896437057
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1060,32,T2,白银,海洋龙魂,0.4582627946347181,0.03539541551240153,0.003529193650154916,0.18465790780293448
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1238,33,T2,黄金,质变：棱彩阶,0.45766735242918183,0.02912666110468359,0.0029337514446186597,0.15341489947161424
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1373,34,T2,黄金,缩小引擎,0.4574305767470247,0.01510493249565566,0.0026969757624615287,0.11338589081276093
518,万花通灵,5,0.45473360098456317,0.0057087718268772425,1068,35,T2,黄金,循环往复,0.45696501395149175,0.021475093224674925,0.002231412966928581,0.11594664053736577
