英雄 ID,英雄名称,英雄评级,英雄胜率,英雄出场率,海克斯阶级,海克斯名称,海克斯胜率,海克斯出场率,胜率差,综合得分
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,秘术冲拳,0.4968396295751874,0.17694948759298756,0.038170327177018515,1.5478220486817518
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,感受燃烧,0.5329341317365269,0.004343754876970296,0.07426482933835804,1.4432602927003322
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,小丑学院,0.5211505922165821,0.015372210372990688,0.06248128981841322,1.2809221965712154
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,虚空裂隙,0.4913509060955519,0.06315351401966394,0.03268160369738299,0.9566126579894849
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,最终形态,0.5061728395061729,0.00210685116787182,0.04750353710800398,0.956300893691957
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,史上最大雪球,0.4968553459119497,0.03308536648806118,0.0381860435137808,0.9244289836984311
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,巨人杀手,0.4935858277336591,0.042579201997607036,0.03491652533549022,0.9072775056119528
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,激光治疗,0.49586776859504134,0.0031472714976850647,0.03719846619687245,0.7770301857256446
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,精准奇才,0.4936708860759494,0.004109660302762316,0.0350015836777805,0.7420229905995388
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,蛋白粉奶昔,0.49122807017543857,0.0014825989699838735,0.03255876777726968,0.6870689837535661
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,歌利亚巨人,0.4875,0.006242521978879467,0.0288306976018311,0.6412174216921489
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,当心小蛋糕！,0.4823943661971831,0.007386984341674036,0.023725063799014234,0.5551247442797284
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,任务：沃格勒特的巫师帽,0.4730722154222766,0.04250117047287104,0.014402913024107733,0.5410985544120727
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,科学狂人,0.4789473684210526,0.004941996566612912,0.020278066022883734,0.48305143050035515
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,质变：混沌,0.4746760895170789,0.022082921500286117,0.016006787118910015,0.48118582974353724
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,亮出你的剑,0.4696969696969697,0.00515008063257556,0.011027667298800836,0.3189814859077299
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,无限循环往复,0.4668769716088328,0.016490662227539928,0.008207669210663904,0.3178527007011626
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,任务：海牛阿福的勇士,0.46875,0.004994017583103574,0.010080697601831112,0.3014166286999755
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,属性叠属性叠属性！,0.45823389021479716,0.010898402954793737,-0.0004354121833717306,0.275242420988938
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,？？？,0.4666666666666667,0.0050720491078395675,0.007997364268497786,0.2646006483723794
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,量子计算,0.45454545454545453,0.007152889767466056,-0.004123847852714357,0.22570007804551828
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,不祥契约,0.45454545454545453,0.011158508037247048,-0.004123847852714357,0.20833509955556667
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,巨像的勇气,0.4504950495049505,0.005254122665556885,-0.008174252893218381,0.16169642563037878
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,大地苏醒,0.4492753623188406,0.0017947250689278468,-0.009393940079328311,0.15494149709871652
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,踢踏舞,0.45,0.013525464287572179,-0.008669302398168877,0.11701013780201716
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,巨像的勇气,0.45871559633027525,0.002835145398741091,4.629393210636712e-05,0.11310358145784431
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,神圣雪球,0.45208568207440814,0.023071320813608697,-0.006583620323760753,0.11282351106957046
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,魄罗之王的弹跳,0.44537815126050423,0.009285751443583208,-0.013291151137664658,0.052963697149763594
518,万花通灵,5,0.4586693023981689,0.00607180670283492,棱彩,扳机炼狱,0.4421052631578947,0.002470998283306456,-0.016564039240274164,0.024137880823254645
